geoid,name,B19001001,"B19001001, Error",B19001002,"B19001002, Error",B19001003,"B19001003, Error",B19001004,"B19001004, Error",B19001005,"B19001005, Error",B19001006,"B19001006, Error",B19001007,"B19001007, Error",B19001008,"B19001008, Error",B19001009,"B19001009, Error",B19001010,"B19001010, Error",B19001011,"B19001011, Error",B19001012,"B19001012, Error",B19001013,"B19001013, Error",B19001014,"B19001014, Error",B19001015,"B19001015, Error",B19001016,"B19001016, Error",B19001017,"B19001017, Error"
01000US,United States,131332360,130190,6963573,51682,4578695,38019,3911930,31826,4523389,41367,4153110,41094,4718247,40370,4483017,36131,4781455,40244,4308699,39571,8783865,58420,12347400,69976,16682685,71844,13423945,61195,9460569,56394,11941011,58662,16270770,74470
04000US51,Virginia,3402670,10363,159145,7871,103091,5340,80133,5105,100948,5572,92422,7147,107191,5487,91548,5665,111346,5668,98844,5120,204484,7608,289214,9086,427889,10437,354379,10189,257933,7959,363049,10211,561054,11639
05000US11001,"District of Columbia, DC",334673,3520,26386,3383,9776,1928,9691,2725,6239,1940,3009,1246,7377,1742,4038,1001,7536,1771,7947,2361,15556,2815,25667,4268,34061,3569,27535,3269,22489,2867,40721,4858,86645,4031
16000US1150000,"Washington, DC",334673,3520,26386,3383,9776,1928,9691,2725,6239,1940,3009,1246,7377,1742,4038,1001,7536,1771,7947,2361,15556,2815,25667,4268,34061,3569,27535,3269,22489,2867,40721,4858,86645,4031
31000US47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area",2409575,7566,98592,6615,45709,3928,38974,4149,37070,4195,36462,3953,43750,4304,38977,3198,47842,4165,49337,4438,105271,5790,173282,7218,276728,9280,248750,8278,198168,8155,328223,10387,642440,12303
