geoid,name,B25002001,"B25002001, Error",B25002002,"B25002002, Error",B25002003,"B25002003, Error"
01000US,United States,145333460,10062,131332360,130190,14001102,137938
04000US51,Virginia,3717625,472,3402670,10363,314955,10492
05000US11001,"District of Columbia, DC",367125,69,334673,3520,32452,3511
16000US1150000,"Washington, DC",367125,69,334673,3520,32452,3511
31000US47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area",2532369,2015,2409575,7566,122794,7549
